Lineage,Parent,Label
AY.52,B.1.617.2,Delta
AY.53,B.1.617.2,Delta
AY.54,B.1.617.2,Delta
AY.55,B.1.617.2,Delta
AY.56,B.1.617.2,Delta
AY.57,B.1.617.2,Delta
AY.58,B.1.617.2,Delta
AY.59,B.1.617.2,Delta
AY.6,B.1.617.2,Delta
AY.60,B.1.617.2,Delta
AY.61,B.1.617.2,Delta
AY.62,B.1.617.2,Delta
AY.63,B.1.617.2,Delta
AY.64,B.1.617.2,Delta
AY.65,B.1.617.2,Delta
AY.66,B.1.617.2,Delta
AY.67,B.1.617.2,Delta
AY.68,B.1.617.2,Delta
AY.69,B.1.617.2,Delta
AY.7,B.1.617.2,Delta
AY.7.1,B.1.617.2,Delta
AY.7.2,B.1.617.2,Delta
AY.70,B.1.617.2,Delta
AY.71,B.1.617.2,Delta
AY.72,B.1.617.2,Delta
AY.73,B.1.617.2,Delta
AY.74,B.1.617.2,Delta
AY.75,B.1.617.2,Delta
AY.75.2,B.1.617.2,Delta
AY.75.3,B.1.617.2,Delta
AY.76,B.1.617.2,Delta
AY.77,B.1.617.2,Delta
AY.78,B.1.617.2,Delta
AY.79,B.1.617.2,Delta
AY.8,B.1.617.2,Delta
AY.80,B.1.617.2,Delta
AY.81,B.1.617.2,Delta
AY.82,B.1.617.2,Delta
AY.83,B.1.617.2,Delta
AY.84,B.1.617.2,Delta
AY.85,B.1.617.2,Delta
AY.86,B.1.617.2,Delta
AY.87,B.1.617.2,Delta
AY.88,B.1.617.2,Delta
AY.9,B.1.617.2,Delta
AY.9.2,B.1.617.2,Delta
AY.9.2.2,B.1.617.2,Delta
AY.90,B.1.617.2,Delta
AY.91,B.1.617.2,Delta
AY.91.1,B.1.617.2,Delta
AY.92,B.1.617.2,Delta
AY.93,B.1.617.2,Delta
AY.94,B.1.617.2,Delta
AY.95,B.1.617.2,Delta
AY.98,B.1.617.2,Delta
AY.98.1,B.1.617.2,Delta
AY.98.1.1,B.1.617.2,Delta
AY.99,B.1.617.2,Delta
AY.99.1,B.1.617.2,Delta
AY.99.2,B.1.617.2,Delta
B.1.617.2,B.1.617.2,Delta
21I (Delta),21I (Delta),Delta
21J (Delta),21J (Delta),Delta
21L (Omicron),BA.1,Omicron
21M (Omicron),BA.2,Omicron (BA.2)
A,A,Not a VOC
A.1,A,Not a VOC
A.11,A,Not a VOC
A.12,A,Not a VOC
A.18,A,Not a VOC
A.19,A,Not a VOC
A.2,A,Not a VOC
A.2.2,A,Not a VOC
A.2.3,A,Not a VOC
A.2.4,A,Not a VOC
A.2.5,A,Not a VOC
A.2.5.1,A,Not a VOC
A.2.5.2,A,Not a VOC
A.2.5.3,A,Not a VOC
A.21,A,Not a VOC
A.23,A,Not a VOC
A.23.1,A,Not a VOC
A.24,A,Not a VOC
A.25,A,Not a VOC
A.26,A,Not a VOC
A.27,A,Not a VOC
A.28,A,Not a VOC
A.29,A,Not a VOC
A.3,A,Not a VOC
A.4,A,Not a VOC
A.5,A,Not a VOC
A.6,A,Not a VOC
A.7,A,Not a VOC
AA.1,B.1,Not a VOC
AA.2,B.1,Not a VOC
AA.3,B.1,Not a VOC
AA.4,B.1,Not a VOC
AA.5,B.1,Not a VOC
AA.6,B.1,Not a VOC
AA.7,B.1,Not a VOC
AA.8,B.1,Not a VOC
AC.1,B.1,Not a VOC
AD.2,B.1,Not a VOC
AE.1,B.1,Not a VOC
AE.2,B.1,Not a VOC
AE.4,B.1,Not a VOC
AE.6,B.1,Not a VOC
AE.7,B.1,Not a VOC
AF.1,B.1,Not a VOC
AG.1,B.1,Not a VOC
AH.1,B.1,Not a VOC
AH.2,B.1,Not a VOC
AH.3,B.1,Not a VOC
AK.1,B.1,Not a VOC
AK.2,B.1,Not a VOC
AM.3,B.1,Not a VOC
AN.1,B.1,Not a VOC
AP.1,B.1,Not a VOC
AQ.1,B.1,Not a VOC
AS.1,B.1,Not a VOC
AS.2,B.1,Not a VOC
AT.1,B.1,Not a VOC
AV.1,B.1,Not a VOC
B,B,Not a VOC
B.1,B,Not a VOC
B.1.1,B,Not a VOC
B.1.1.1,B,Not a VOC
B.1.1.10,B,Not a VOC
B.1.1.101,B,Not a VOC
B.1.1.107,B,Not a VOC
B.1.1.109,B,Not a VOC
B.1.1.111,B,Not a VOC
B.1.1.113,B,Not a VOC
B.1.1.114,B,Not a VOC
B.1.1.115,B,Not a VOC
B.1.1.116,B,Not a VOC
B.1.1.117,B,Not a VOC
B.1.1.118,B,Not a VOC
B.1.1.119,B,Not a VOC
B.1.1.12,B,Not a VOC
B.1.1.120,B,Not a VOC
B.1.1.121,B,Not a VOC
B.1.1.122,B,Not a VOC
B.1.1.123,B,Not a VOC
B.1.1.125,B,Not a VOC
B.1.1.128,B,Not a VOC
B.1.1.129,B,Not a VOC
B.1.1.13,B,Not a VOC
B.1.1.130,B,Not a VOC
B.1.1.132,B,Not a VOC
B.1.1.133,B,Not a VOC
B.1.1.134,B,Not a VOC
B.1.1.135,B,Not a VOC
B.1.1.136,B,Not a VOC
B.1.1.137,B,Not a VOC
B.1.1.138,B,Not a VOC
B.1.1.139,B,Not a VOC
B.1.1.14,B,Not a VOC
B.1.1.141,B,Not a VOC
B.1.1.142,B,Not a VOC
B.1.1.144,B,Not a VOC
B.1.1.145,B,Not a VOC
B.1.1.147,B,Not a VOC
B.1.1.148,B,Not a VOC
B.1.1.149,B,Not a VOC
B.1.1.15,B,Not a VOC
B.1.1.152,B,Not a VOC
B.1.1.153,B,Not a VOC
B.1.1.154,B,Not a VOC
B.1.1.155,B,Not a VOC
B.1.1.158,B,Not a VOC
B.1.1.159,B,Not a VOC
B.1.1.16,B,Not a VOC
B.1.1.160,B,Not a VOC
B.1.1.161,B,Not a VOC
B.1.1.162,B,Not a VOC
B.1.1.163,B,Not a VOC
B.1.1.164,B,Not a VOC
B.1.1.165,B,Not a VOC
B.1.1.166,B,Not a VOC
B.1.1.168,B,Not a VOC
B.1.1.169,B,Not a VOC
B.1.1.17,B,Not a VOC
B.1.1.170,B,Not a VOC
B.1.1.171,B,Not a VOC
B.1.1.172,B,Not a VOC
B.1.1.174,B,Not a VOC
B.1.1.175,B,Not a VOC
B.1.1.176,B,Not a VOC
B.1.1.177,B,Not a VOC
B.1.1.178,B,Not a VOC
B.1.1.180,B,Not a VOC
B.1.1.181,B,Not a VOC
B.1.1.182,B,Not a VOC
B.1.1.185,B,Not a VOC
B.1.1.186,B,Not a VOC
B.1.1.187,B,Not a VOC
B.1.1.189,B,Not a VOC
B.1.1.190,B,Not a VOC
B.1.1.192,B,Not a VOC
B.1.1.193,B,Not a VOC
B.1.1.194,B,Not a VOC
B.1.1.196,B,Not a VOC
B.1.1.197,B,Not a VOC
B.1.1.198,B,Not a VOC
B.1.1.200,B,Not a VOC
B.1.1.201,B,Not a VOC
B.1.1.203,B,Not a VOC
B.1.1.204,B,Not a VOC
B.1.1.205,B,Not a VOC
B.1.1.207,B,Not a VOC
B.1.1.208,B,Not a VOC
B.1.1.209,B,Not a VOC
B.1.1.210,B,Not a VOC
B.1.1.213,B,Not a VOC
B.1.1.214,B,Not a VOC
B.1.1.216,B,Not a VOC
B.1.1.217,B,Not a VOC
B.1.1.218,B,Not a VOC
B.1.1.219,B,Not a VOC
B.1.1.220,B,Not a VOC
B.1.1.221,B,Not a VOC
B.1.1.222,B,Not a VOC
B.1.1.224,B,Not a VOC
B.1.1.225,B,Not a VOC
B.1.1.226,B,Not a VOC
B.1.1.227,B,Not a VOC
B.1.1.228,B,Not a VOC
B.1.1.229,B,Not a VOC
B.1.1.231,B,Not a VOC
B.1.1.232,B,Not a VOC
B.1.1.234,B,Not a VOC
B.1.1.236,B,Not a VOC
B.1.1.237,B,Not a VOC
B.1.1.239,B,Not a VOC
B.1.1.240,B,Not a VOC
B.1.1.241,B,Not a VOC
B.1.1.242,B,Not a VOC
B.1.1.243,B,Not a VOC
B.1.1.244,B,Not a VOC
B.1.1.249,B,Not a VOC
B.1.1.25,B,Not a VOC
B.1.1.251,B,Not a VOC
B.1.1.253,B,Not a VOC
B.1.1.254,B,Not a VOC
B.1.1.255,B,Not a VOC
B.1.1.256,B,Not a VOC
B.1.1.257,B,Not a VOC
B.1.1.258,B,Not a VOC
B.1.1.26,B,Not a VOC
B.1.1.261,B,Not a VOC
B.1.1.262,B,Not a VOC
B.1.1.263,B,Not a VOC
B.1.1.265,B,Not a VOC
B.1.1.266,B,Not a VOC
B.1.1.268,B,Not a VOC
B.1.1.269,B,Not a VOC
B.1.1.27,B,Not a VOC
B.1.1.270,B,Not a VOC
B.1.1.274,B,Not a VOC
B.1.1.275,B,Not a VOC
B.1.1.277,B,Not a VOC
B.1.1.279,B,Not a VOC
B.1.1.280,B,Not a VOC
B.1.1.282,B,Not a VOC
B.1.1.283,B,Not a VOC
B.1.1.284,B,Not a VOC
B.1.1.285,B,Not a VOC
B.1.1.286,B,Not a VOC
B.1.1.288,B,Not a VOC
B.1.1.289,B,Not a VOC
B.1.1.29,B,Not a VOC
B.1.1.290,B,Not a VOC
B.1.1.291,B,Not a VOC
B.1.1.294,B,Not a VOC
B.1.1.296,B,Not a VOC
B.1.1.297,B,Not a VOC
B.1.1.298,B,Not a VOC
B.1.1.299,B,Not a VOC
B.1.1.3,B,Not a VOC
B.1.1.300,B,Not a VOC
B.1.1.301,B,Not a VOC
B.1.1.302,B,Not a VOC
B.1.1.303,B,Not a VOC
B.1.1.304,B,Not a VOC
B.1.1.305,B,Not a VOC
B.1.1.306,B,Not a VOC
B.1.1.307,B,Not a VOC
B.1.1.308,B,Not a VOC
B.1.1.309,B,Not a VOC
B.1.1.310,B,Not a VOC
B.1.1.311,B,Not a VOC
B.1.1.312,B,Not a VOC
B.1.1.315,B,Not a VOC
B.1.1.316,B,Not a VOC
B.1.1.317,B,Not a VOC
B.1.1.318,B,Not a VOC
B.1.1.320,B,Not a VOC
B.1.1.322,B,Not a VOC
B.1.1.323,B,Not a VOC
B.1.1.325,B,Not a VOC
B.1.1.326,B,Not a VOC
B.1.1.327,B,Not a VOC
B.1.1.328,B,Not a VOC
B.1.1.329,B,Not a VOC
B.1.1.33,B,Not a VOC
B.1.1.336,B,Not a VOC
B.1.1.337,B,Not a VOC
B.1.1.338,B,Not a VOC
B.1.1.339,B,Not a VOC
B.1.1.34,B,Not a VOC
B.1.1.341,B,Not a VOC
B.1.1.344,B,Not a VOC
B.1.1.345,B,Not a VOC
B.1.1.347,B,Not a VOC
B.1.1.348,B,Not a VOC
B.1.1.349,B,Not a VOC
B.1.1.351,B,Not a VOC
B.1.1.352,B,Not a VOC
