Sample,Site,Date,Week,Year,Graph-Title
WWS-00091,Missouri-River,02/02/2022,01/31/2022,2022,"Missouri River Omaha, NE"
WWS-00092,Scottsbluff,01/28/2022,01/24/2022,2022,"Scottsbluff, NE"
WWS-00093,Scottsbluff,02/01/2022,01/31/2022,2022,"Scottsbluff, NE"
WWS-00094,Kearney,01/27/2022,01/24/2022,2022,"Kearney, NE"
WWS-00095,Kearney,02/01/2022,01/31/2022,2022,"Kearney, NE"
WWS-00096,Grand-Island,01/27/2022,01/24/2022,2022,"Grand Island, NE"
WWS-00097,Grand-Island,01/31/2022,01/31/2022,2022,"Grand Island, NE"
WWS-00098,Columbus,01/28/2022,01/24/2022,2022,"Columbus, NE"
WWS-00099,Columbus,02/02/2022,01/31/2022,2022,"Columbus, NE"
WWS-00100,Theresa-St,02/08/2022,02/07/2022,2022,"Theresa St. Lincoln, NE"
WWS-00101,Theresa-St,02/10/2022,02/07/2022,2022,"Theresa St. Lincoln, NE"
WWS-00102,Papillion-Creek,02/03/2022,01/31/2022,2022,"Papillion Creek Papillion, NE"
WWS-00103,Papillion-Creek,02/04/2022,01/31/2022,2022,"Papillion Creek Papillion, NE"
WWS-00104,Papillion-Creek,02/05/2022,01/31/2022,2022,"Papillion Creek Papillion, NE"
WWS-00105,Papillion-Creek,02/07/2022,02/07/2022,2022,"Papillion Creek Papillion, NE"
WWS-00106,Papillion-Creek,02/09/2022,02/07/2022,2022,"Papillion Creek Papillion, NE"
WWS-00107,Missouri-River,02/07/2022,02/07/2022,2022,"Missouri River Omaha, NE"
WWS-00108,Missouri-River,02/09/2022,02/07/2022,2022,"Missouri River Omaha, NE"
WWS-00109,Scottsbluff,02/03/2022,01/31/2022,2022,"Scottsbluff, NE"
WWS-00110,Scottsbluff,02/07/2022,02/07/2022,2022,"Scottsbluff, NE"
WWS-00111,Kearney,02/03/2022,01/31/2022,2022,"Kearney, NE"
WWS-00112,Kearney,02/08/2022,02/07/2022,2022,"Kearney, NE"
WWS-00113,Grand-Island,02/04/2022,01/31/2022,2022,"Grand Island, NE"
WWS-00114,Grand-Island,02/07/2022,02/07/2022,2022,"Grand Island, NE"
WWS-00115,Eppley,02/10/2022,02/07/2022,2022,"Eppley Airfield Omaha, NE"
WWS-00116,Site-16,02/10/2022,02/07/2022,2022,"Site 16"
WWS-00117,Hastings,02/04/2022,01/31/2022,2022,"Hastings, NE"
WWS-00118,Hastings,02/08/2022,02/07/2022,2022,"Hastings, NE"
WWS-00130,Columbus,02/04/2022,01/31/2022,2022,"Columbus, NE"
WWS-00131,Columbus,02/09/2022,02/07/2022,2022,"Columbus, NE"
WWS-00132,Scottsbluff,02/10/2022,02/07/2022,2022,"Scottsbluff, NE"
WWS-00133,Scottsbluff,02/14/2022,02/14/2022,2022,"Scottsbluff, NE"
WWS-00134,Grand-Island,02/10/2022,02/07/2022,2022,"Grand Island, NE"
WWS-00135,Grand-Island,02/14/2022,02/14/2022,2022,"Grand Island, NE"
WWS-00136,Theresa-St,02/15/2022,02/14/2022,2022,"Theresa St. Lincoln, NE"
WWS-00137,Theresa-St,02/17/2022,02/14/2022,2022,"Theresa St. Lincoln, NE"
WWS-00138,Papillion-Creek,02/14/2022,02/14/2022,2022,"Papillion Creek Papillion, NE"
WWS-00139,Papillion-Creek,02/16/2022,02/14/2022,2022,"Papillion Creek Papillion, NE"
WWS-00140,Missouri-River,02/14/2022,02/14/2022,2022,"Missouri River Omaha, NE"
WWS-00141,Missouri-River,02/16/2022,02/14/2022,2022,"Missouri River Omaha, NE"
WWS-00142,Kearney,02/10/2022,02/07/2022,2022,"Kearney, NE"
WWS-00143,Kearney,02/14/2022,02/14/2022,2022,"Kearney, NE"
WWS-00144,Columbus,02/11/2022,02/07/2022,2022,"Columbus, NE"
WWS-00145,Columbus,02/16/2022,02/14/2022,2022,"Columbus, NE"
WWS-00146,Site-13,02/17/2022,02/14/2022,2022,"Site 13"
WWS-00147,Site-15,02/17/2022,02/14/2022,2022,"Site 15"
WWS-00148,Site-14,02/17/2022,02/14/2022,2022,"Site 14"
WWS-00149,Hastings,02/10/2022,02/07/2022,2022,"Hastings, NE"
WWS-00150,Hastings,02/15/2022,02/14/2022,2022,"Hastings, NE"
WWS-00151,Site-22,02/11/2022,02/07/2022,2022,"Site 22"
WWS-00152,Site-22,02/15/2022,02/14/2022,2022,"Site 22"
WWS-00155,Scottsbluff,02/18/2022,02/14/2022,2022,"Scottsbluff, NE"
WWS-00156,Scottsbluff,02/22/2022,02/21/2022,2022,"Scottsbluff, NE"
WWS-00157,Kearney,02/17/2022,02/14/2022,2022,"Kearney, NE"
WWS-00158,Kearney,02/22/2022,02/21/2022,2022,"Kearney, NE"
WWS-00159,Site-10,02/17/2022,02/14/2022,2022,"Site 10"
WWS-00160,Site-10,02/21/2022,02/21/2022,2022,"Site 10"
WWS-00161,Site-17,02/18/2022,02/14/2022,2022,"Site 17"
WWS-00162,Site-17,02/21/2022,02/21/2022,2022,"Site 17"
WWS-00163,Hastings,02/17/2022,02/14/2022,2022,"Hastings, NE"
WWS-00164,Hastings,02/21/2022,02/21/2022,2022,"Hastings, NE"
WWS-00165,Site-22,02/18/2022,02/14/2022,2022,"Site 22"
WWS-00166,Site-22,02/22/2022,02/21/2022,2022,"Site 22"
WWS-00173,Theresa-St,02/22/2022,02/21/2022,2022,"Theresa St. Lincoln, NE"
WWS-00174,Theresa-St,02/24/2022,02/21/2022,2022,"Theresa St. Lincoln, NE"
WWS-00175,Papillion-Creek,02/21/2022,02/21/2022,2022,"Papillion Creek Papillion, NE"
WWS-00176,Papillion-Creek,02/23/2022,02/21/2022,2022,"Papillion Creek Papillion, NE"
WWS-00177,Missouri-River,02/21/2022,02/21/2022,2022,"Missouri River Omaha, NE"
WWS-00178,Missouri-River,02/23/2022,02/21/2022,2022,"Missouri River Omaha, NE"
WWS-00179,Grand-Island,02/21/2022,02/21/2022,2022,"Grand Island, NE"
WWS-00180,Columbus,02/23/2022,02/21/2022,2022,"Columbus, NE"
WWS-00181,Grand-Island,02/17/2022,02/14/2022,2022,"Grand Island, NE"
WWS-00182,Columbus,02/18/2022,02/14/2022,2022,"Columbus, NE"
WWS-00183,Site-13,02/24/2022,02/21/2022,2022,"Site 13"
WWS-00184,Eppley,02/22/2022,02/21/2022,2022,"Eppley Airfield Omaha, NE"
WWS-00185,Site-15,02/24/2022,02/21/2022,2022,"Site 15"
WWS-00186,Site-16,02/24/2022,02/21/2022,2022,"Site 16"
WWS-00187,Site-18,02/24/2022,02/21/2022,2022,"Site 18"
WWS-00188,Site-18,02/23/2022,02/21/2022,2022,"Site 18"
WWS-00189,Theresa-St,03/01/2022,02/28/2022,2022,"Theresa St. Lincoln, NE"
WWS-00190,Theresa-St,03/03/2022,02/28/2022,2022,"Theresa St. Lincoln, NE"
WWS-00191,Papillion-Creek,02/28/2022,02/28/2022,2022,"Papillion Creek Papillion, NE"
WWS-00192,Papillion-Creek,03/02/2022,02/28/2022,2022,"Papillion Creek Papillion, NE"
WWS-00193,Missouri-River,02/28/2022,02/28/2022,2022,"Missouri River Omaha, NE"
WWS-00194,Missouri-River,03/02/2022,02/28/2022,2022,"Missouri River Omaha, NE"
WWS-00195,Scottsbluff,02/24/2022,02/21/2022,2022,"Scottsbluff, NE"
WWS-00196,Scottsbluff,03/01/2022,02/28/2022,2022,"Scottsbluff, NE"
WWS-00197,Kearney,02/24/2022,02/21/2022,2022,"Kearney, NE"
WWS-00198,Kearney,02/28/2022,02/28/2022,2022,"Kearney, NE"
WWS-00199,Grand-Island,02/24/2022,02/21/2022,2022,"Grand Island, NE"
